t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1719505051,126,1233,27.888889,0,154.882625,3.000000,6.000000,69.550000,639.080000,1232.730000,1233.000000
1719505081,129,1233,27.263566,0,153.110944,3.000000,6.000000,65.500000,573.200000,1232.700000,1233.000000
1719505111,135,1233,26.125926,0,149.737702,3.000000,5.000000,57.400000,441.440000,1232.640000,1233.000000
1719505141,138,1233,25.601449,0,148.131306,2.500000,5.000000,53.350000,375.560000,1232.610000,1233.000000
1719505171,141,1233,25.078014,0,146.578944,2.000000,5.000000,51.800000,309.680000,1232.580000,1233.000000
1719505201,147,1233,24.095238,0,143.615179,2.000000,5.000000,51.200000,177.920000,1232.520000,1233.000000
1719505231,150,1233,23.660000,0,142.195009,2.000000,5.000000,50.900000,133.860000,1232.490000,1233.000000
1719505261,156,1233,22.807692,0,139.481441,2.000000,5.000000,50.300000,133.020000,1232.430000,1233.000000
1719505291,159,1233,22.396226,0,138.183011,2.000000,5.000000,50.000000,132.600000,1232.400000,1233.000000
1719505321,162,1233,22.000000,0,136.920115,2.000000,5.000000,48.950000,132.180000,1232.370000,1233.000000
1719505351,168,1233,21.285714,0,134.489816,2.000000,4.000000,46.850000,131.340000,1232.310000,1233.000000
1719505381,171,1233,20.923977,0,133.325520,2.000000,4.000000,45.800000,130.920000,1232.280000,1233.000000
1719505411,174,1233,20.591954,0,132.188428,2.000000,4.000000,44.750000,130.500000,1232.250000,1233.000000
1719505441,180,1233,19.955556,0,129.999735,2.000000,4.000000,41.850000,129.660000,1232.190000,1233.000000
1719505471,183,1233,19.650273,0,128.945717,2.000000,4.000000,38.400000,129.240000,1232.160000,1233.000000
1719505501,186,1233,19.349462,0,127.917674,2.000000,4.000000,34.950000,128.820000,1232.130000,1233.000000
1719505531,192,1233,18.781250,0,125.932476,2.000000,4.000000,28.050000,127.980000,1232.070000,1233.000000
1719505561,195,1233,18.517949,0,124.972877,2.000000,4.000000,24.600000,127.560000,1232.040000,1233.000000
1719505591,201,1233,18.004975,0,123.119068,2.000000,4.000000,20.000000,125.200000,1210.040000,1233.000000
1719505621,204,1233,17.759804,0,122.222547,2.000000,4.000000,20.000000,122.500000,1177.100000,1233.000000
1719505651,207,1233,17.521739,0,121.345324,2.000000,4.000000,20.000000,119.800000,1144.160000,1233.000000
1719505681,213,1233,17.056338,0,119.647267,2.000000,3.500000,20.000000,114.400000,1078.280000,1233.000000
1719505711,216,1233,16.837963,0,118.823992,2.000000,3.000000,20.000000,111.700000,1045.340000,1233.000000
1719505741,219,1233,16.630137,0,118.016813,2.000000,3.000000,20.000000,109.000000,1012.400000,1233.000000
1719505771,225,1233,16.222222,0,116.451762,2.000000,3.000000,19.700000,103.600000,946.520000,1233.000000
1719505801,228,1233,16.030702,0,115.691729,2.000000,3.000000,19.550000,100.900000,913.580000,1233.000000
1719505831,231,1233,15.835498,0,114.947431,2.000000,3.000000,19.400000,98.200000,880.640000,1233.000000
1719505861,237,1233,15.464135,0,113.500447,2.000000,3.000000,19.100000,92.800000,814.760000,1233.000000
1719505891,240,1233,15.283333,0,112.797384,2.000000,3.000000,18.850000,90.100000,781.820000,1233.000000
1719505921,246,1233,15.174797,0,111.421749,2.000000,3.000000,20.000000,84.700000,715.940000,1233.000000
1719505951,255,1233,15.117647,0,109.453806,2.000000,3.000000,23.200000,81.640000,617.120000,1233.000000
1719505980,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1719506010,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1719506040,8,383,65.500000,2,130.700312,8.500000,62.750000,383.000000,383.000000,383.000000,383.000000
1719506070,18,383,48.166667,1,92.837144,7.500000,54.250000,383.000000,383.000000,383.000000,383.000000
1719506100,28,383,38.642857,1,77.612625,7.000000,47.250000,279.950000,383.000000,383.000000,383.000000
1719506130,30,383,41.800000,1,77.465632,9.500000,48.500000,257.050000,383.000000,383.000000,383.000000
1719506160,41,383,43.121951,1,81.250291,9.000000,46.500000,291.700000,383.000000,383.000000,383.000000
1719506190,51,383,41.490196,1,74.847678,9.000000,50.000000,215.200000,379.960000,383.000000,383.000000
1719506220,1290,383,2.296693,0,19.124573,0.000000,0.000000,2.000000,19.840000,65.840000,380.796000
1719506250,7581,146,0.343385,0,6.007767,0.000000,0.000000,1.000000,1.000000,2.000000,145.391000
1719506280,13543,146,0.208171,0,4.612697,0.000000,0.000000,0.000000,1.000000,1.000000,142.404000
1719506310,19641,146,0.204280,0,4.611816,0.000000,0.000000,0.000000,1.000000,1.000000,142.404000
1719506340,25637,146,0.195525,0,4.611034,0.000000,0.000000,0.000000,1.000000,1.000000,142.404000
1719506370,31752,146,0.197471,0,4.611796,0.000000,0.000000,0.000000,1.000000,1.000000,142.404000
1719506401,38044,146,0.201362,0,4.615848,0.000000,0.000000,0.000000,1.000000,1.000000,142.404000
1719506431,44880,146,0.193580,0,4.614072,0.000000,0.000000,0.000000,0.000000,1.000000,142.404000
1719506461,51914,146,0.184825,0,4.609047,0.000000,0.000000,0.000000,0.000000,1.000000,142.404000
1719506491,58589,22,0.038911,0,0.717322,0.000000,0.000000,0.000000,0.000000,1.000000,21.507000
1719506521,65369,22,0.037938,0,0.716695,0.000000,0.000000,0.000000,0.000000,1.000000,21.507000
1719506551,72063,22,0.036965,0,0.711975,0.000000,0.000000,0.000000,0.000000,1.000000,21.507000
1719506581,79008,22,0.035992,0,0.711341,0.000000,0.000000,0.000000,0.000000,1.000000,21.507000
