t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1719505321,484,1690,28.016529,1,143.150140,5.000000,10.000000,55.000000,185.200000,1107.000000,1690.000000
1719505351,502,1690,27.139442,1,140.629084,5.000000,9.000000,54.700000,149.440000,1098.840000,1690.000000
1719505381,511,1690,26.710372,1,139.419716,5.000000,9.000000,53.800000,144.760000,1074.360000,1690.000000
1719505411,520,1690,26.305769,1,138.239456,5.000000,9.000000,53.000000,140.080000,1049.880000,1690.000000
1719505441,538,1690,25.522305,1,135.968272,5.000000,8.250000,53.000000,130.720000,1000.920000,1690.000000
1719505471,547,1690,25.155393,1,134.872955,5.000000,8.000000,52.600000,126.040000,976.440000,1690.000000
1719505501,556,1690,24.787770,1,133.805742,4.000000,8.000000,52.150000,124.440000,951.960000,1690.000000
1719505531,574,1690,24.111498,1,131.741158,4.000000,8.000000,52.000000,123.000000,903.000000,1690.000000
1719505561,583,1690,23.801029,1,130.742217,4.000000,8.000000,51.800000,122.280000,878.520000,1690.000000
1719505591,601,1690,23.173045,1,128.815941,4.000000,7.000000,51.000000,120.720000,826.040000,1690.000000
1719505621,610,1690,22.877049,1,127.883541,4.000000,7.000000,51.000000,119.460000,785.720000,1690.000000
1719505651,619,1690,22.591276,1,126.970855,4.000000,7.000000,51.000000,118.200000,745.400000,1690.000000
1719505681,637,1690,22.040816,1,125.203124,4.000000,7.000000,49.200000,115.680000,664.760000,1690.000000
1719505711,646,1690,21.773994,1,124.346920,4.000000,7.000000,47.250000,114.420000,624.440000,1690.000000
1719505741,655,1690,21.520611,1,123.507106,4.000000,7.000000,45.000000,112.320000,584.120000,1690.000000
1719505771,673,1690,21.019316,1,121.879495,4.000000,7.000000,44.000000,107.280000,503.480000,1690.000000
1719505801,682,1690,20.780059,1,121.089274,4.000000,7.000000,43.400000,104.760000,463.160000,1690.000000
1719505831,691,1690,20.552822,1,120.313376,4.000000,7.000000,41.600000,102.240000,422.840000,1690.000000
1719505861,709,1690,20.107193,1,118.806505,4.000000,6.000000,39.500000,97.800000,383.700000,1690.000000
1719505891,718,1690,19.887187,1,118.074722,4.000000,6.000000,39.050000,95.820000,380.730000,1690.000000
1719505921,736,1690,19.777174,1,116.635495,4.000000,6.750000,38.150000,91.860000,374.790000,1690.000000
1719505951,746,1690,19.553619,1,115.866044,4.000000,6.000000,37.650000,89.660000,371.490000,1690.000000
1719505980,1,1638,1638.000000,1638,0.000000,1638.000000,1638.000000,1638.000000,1638.000000,1638.000000,1638.000000
1719506010,1,1638,1638.000000,1638,0.000000,1638.000000,1638.000000,1638.000000,1638.000000,1638.000000,1638.000000
1719506040,19,1638,137.000000,5,368.410399,32.000000,120.000000,1638.000000,1638.000000,1638.000000,1638.000000
1719506070,33,1638,86.000000,4,282.943457,17.000000,42.000000,623.000000,1638.000000,1638.000000,1638.000000
1719506100,51,1638,62.921569,4,228.650374,17.000000,37.000000,175.400000,1580.000000,1638.000000,1638.000000
1719506130,56,1638,59.607143,4,218.320588,18.000000,36.750000,170.150000,1435.000000,1638.000000,1638.000000
1719506160,75,1638,48.773333,4,189.216134,17.000000,33.000000,166.200000,884.000000,1638.000000,1638.000000
1719506190,89,1638,43.887640,2,173.941241,17.000000,32.000000,143.000000,478.000000,1638.000000,1638.000000
1719506220,99,1638,42.060606,2,164.945682,18.000000,32.000000,120.000000,188.000000,1638.000000,1638.000000
1719506250,104,1638,40.519231,2,161.042657,17.000000,30.750000,105.750000,185.900000,1565.500000,1638.000000
1719506280,114,1638,37.500000,2,154.063844,15.500000,29.250000,77.250000,181.700000,1420.500000,1638.000000
1719506310,119,1638,36.151261,1,150.904260,15.000000,28.000000,63.000000,179.600000,1348.000000,1638.000000
1719506340,129,1638,33.798450,1,145.120014,13.000000,25.500000,56.500000,175.400000,1203.000000,1638.000000
1719506370,139,1638,32.107914,1,139.903626,12.000000,24.000000,50.000000,171.200000,1058.000000,1638.000000
1719506401,148,1638,30.837838,1,135.656381,12.000000,23.000000,49.100000,167.420000,927.500000,1638.000000
1719506431,158,1638,29.639241,1,131.356820,12.000000,23.000000,48.100000,166.820000,782.500000,1638.000000
1719506461,172,1638,27.831395,1,126.018705,11.000000,21.750000,46.700000,166.540000,579.500000,1638.000000
1719506491,177,1638,27.350282,1,124.250944,11.000000,21.000000,46.200000,166.440000,507.000000,1638.000000
1719506521,187,1638,26.144385,1,120.972162,11.000000,19.000000,46.000000,166.240000,362.000000,1638.000000
1719506551,196,1638,25.265306,1,118.221786,11.000000,19.000000,46.000000,166.060000,231.500000,1638.000000
1719506581,202,1638,24.693069,1,116.490364,10.500000,19.000000,45.400000,163.240000,187.370000,1638.000000
